name,label,partner_type,country
DP-001,Delivery Partner 001,Scaling,GH
DP-002,Delivery Partner 002,Private,KE
DP-003,Delivery Partner 003,NARS,TZ
DP-004,Delivery Partner 004,Scaling,UG
DP-005,Delivery Partner 005,Private,ZM
DP-006,Delivery Partner 006,NARS,NG
DP-007,Delivery Partner 007,Scaling,GH
DP-008,Delivery Partner 008,Private,KE
DP-009,Delivery Partner 009,NARS,TZ
DP-010,Delivery Partner 010,Scaling,UG
DP-011,Delivery Partner 011,Private,ZM
DP-012,Delivery Partner 012,NARS,NG
DP-013,Delivery Partner 013,Scaling,GH
DP-014,Delivery Partner 014,Private,KE
DP-015,Delivery Partner 015,NARS,TZ
DP-016,Delivery Partner 016,Scaling,UG
DP-017,Delivery Partner 017,Private,ZM
DP-018,Delivery Partner 018,NARS,NG
DP-019,Delivery Partner 019,Scaling,GH
DP-020,Delivery Partner 020,Private,KE
DP-021,Delivery Partner 021,NARS,TZ
DP-022,Delivery Partner 022,Scaling,UG
DP-023,Delivery Partner 023,Private,ZM
DP-024,Delivery Partner 024,NARS,NG
DP-025,Delivery Partner 025,Scaling,GH
DP-026,Delivery Partner 026,Private,KE
DP-027,Delivery Partner 027,NARS,TZ
DP-028,Delivery Partner 028,Scaling,UG
DP-029,Delivery Partner 029,Private,ZM
DP-030,Delivery Partner 030,NARS,NG
DP-031,Delivery Partner 031,Scaling,GH
DP-032,Delivery Partner 032,Private,KE
DP-033,Delivery Partner 033,NARS,TZ
DP-034,Delivery Partner 034,Scaling,UG
DP-035,Delivery Partner 035,Private,ZM
DP-036,Delivery Partner 036,NARS,NG
DP-037,Delivery Partner 037,Scaling,GH
DP-038,Delivery Partner 038,Private,KE
DP-039,Delivery Partner 039,NARS,TZ
DP-040,Delivery Partner 040,Scaling,UG
