name,label,country
NARS-SCI-0001,Scientist 0001,GH
NARS-SCI-0002,Scientist 0002,KE
NARS-SCI-0003,Scientist 0003,TZ
NARS-SCI-0004,Scientist 0004,UG
NARS-SCI-0005,Scientist 0005,ZM
NARS-SCI-0006,Scientist 0006,NG
NARS-SCI-0007,Scientist 0007,GH
NARS-SCI-0008,Scientist 0008,KE
NARS-SCI-0009,Scientist 0009,TZ
NARS-SCI-0010,Scientist 0010,UG
NARS-SCI-0011,Scientist 0011,ZM
NARS-SCI-0012,Scientist 0012,NG
NARS-SCI-0013,Scientist 0013,GH
NARS-SCI-0014,Scientist 0014,KE
NARS-SCI-0015,Scientist 0015,TZ
NARS-SCI-0016,Scientist 0016,UG
NARS-SCI-0017,Scientist 0017,ZM
NARS-SCI-0018,Scientist 0018,NG
NARS-SCI-0019,Scientist 0019,GH
NARS-SCI-0020,Scientist 0020,KE
NARS-SCI-0021,Scientist 0021,TZ
NARS-SCI-0022,Scientist 0022,UG
NARS-SCI-0023,Scientist 0023,ZM
NARS-SCI-0024,Scientist 0024,NG
NARS-SCI-0025,Scientist 0025,GH
NARS-SCI-0026,Scientist 0026,KE
NARS-SCI-0027,Scientist 0027,TZ
NARS-SCI-0028,Scientist 0028,UG
NARS-SCI-0029,Scientist 0029,ZM
NARS-SCI-0030,Scientist 0030,NG
NARS-SCI-0031,Scientist 0031,GH
NARS-SCI-0032,Scientist 0032,KE
NARS-SCI-0033,Scientist 0033,TZ
NARS-SCI-0034,Scientist 0034,UG
NARS-SCI-0035,Scientist 0035,ZM
NARS-SCI-0036,Scientist 0036,NG
NARS-SCI-0037,Scientist 0037,GH
NARS-SCI-0038,Scientist 0038,KE
NARS-SCI-0039,Scientist 0039,TZ
NARS-SCI-0040,Scientist 0040,UG
NARS-SCI-0041,Scientist 0041,ZM
NARS-SCI-0042,Scientist 0042,NG
NARS-SCI-0043,Scientist 0043,GH
NARS-SCI-0044,Scientist 0044,KE
NARS-SCI-0045,Scientist 0045,TZ
NARS-SCI-0046,Scientist 0046,UG
NARS-SCI-0047,Scientist 0047,ZM
NARS-SCI-0048,Scientist 0048,NG
NARS-SCI-0049,Scientist 0049,GH
NARS-SCI-0050,Scientist 0050,KE
NARS-SCI-0051,Scientist 0051,TZ
NARS-SCI-0052,Scientist 0052,UG
NARS-SCI-0053,Scientist 0053,ZM
NARS-SCI-0054,Scientist 0054,NG
NARS-SCI-0055,Scientist 0055,GH
NARS-SCI-0056,Scientist 0056,KE
NARS-SCI-0057,Scientist 0057,TZ
NARS-SCI-0058,Scientist 0058,UG
NARS-SCI-0059,Scientist 0059,ZM
NARS-SCI-0060,Scientist 0060,NG
