name,label,crop
GAZ-001,Variety 001,YAM
GAZ-002,Variety 002,COWPEA
GAZ-003,Variety 003,SOYBEAN
GAZ-004,Variety 004,MAIZE
GAZ-005,Variety 005,BANANA
GAZ-006,Variety 006,CASSAVA
GAZ-007,Variety 007,YAM
GAZ-008,Variety 008,COWPEA
GAZ-009,Variety 009,SOYBEAN
GAZ-010,Variety 010,MAIZE
GAZ-011,Variety 011,BANANA
GAZ-012,Variety 012,CASSAVA
GAZ-013,Variety 013,YAM
GAZ-014,Variety 014,COWPEA
GAZ-015,Variety 015,SOYBEAN
GAZ-016,Variety 016,MAIZE
GAZ-017,Variety 017,BANANA
GAZ-018,Variety 018,CASSAVA
GAZ-019,Variety 019,YAM
GAZ-020,Variety 020,COWPEA
GAZ-021,Variety 021,SOYBEAN
GAZ-022,Variety 022,MAIZE
GAZ-023,Variety 023,BANANA
GAZ-024,Variety 024,CASSAVA
GAZ-025,Variety 025,YAM
GAZ-026,Variety 026,COWPEA
GAZ-027,Variety 027,SOYBEAN
GAZ-028,Variety 028,MAIZE
GAZ-029,Variety 029,BANANA
GAZ-030,Variety 030,CASSAVA
